TID: 00f7c8685f7f0000, SID: 28, DID: 0, CID: 0, time stamp: 47, AID: 0, The ship created
TID: 00b7ff615f7f0000, SID: 17, DID: 0, CID: 8, time stamp: 7352, AID: 6, The ship loading cargo from the dock
TID: 00e77f635f7f0000, SID: 0, DID: 4, CID: 24, time stamp: 8298, AID: 6, The ship loading cargo from the dock
TID: 00d7ff625f7f0000, SID: 95, DID: 4, CID: 27, time stamp: 8312, AID: 6, The ship loading cargo from the dock
TID: 00f7ff635f7f0000, SID: 84, DID: 0, CID: 11, time stamp: 8465, AID: 6, The ship loading cargo from the dock
TID: 00f7c8685f7f0000, SID: 28, DID: 4, CID: 53, time stamp: 8534, AID: 6, The ship loading cargo from the dock
TID: 00a77f615f7f0000, SID: 22, DID: 2, CID: 0, time stamp: 9368, AID: 1, The ship requested permission to dock
TID: 00a77f615f7f0000, SID: 22, DID: 2, CID: 0, time stamp: 9373, AID: 2, The ship docked
TID: 00a77f615f7f0000, SID: 22, DID: 2, CID: 0, time stamp: 9376, AID: 5, The ship requested permission to load cargo from the dock
TID: 00a77f615f7f0000, SID: 22, DID: 2, CID: 26, time stamp: 9380, AID: 6, The ship loading cargo from the dock
TID: 00c77f625f7f0000, SID: 37, DID: 2, CID: 1, time stamp: 9406, AID: 6, The ship loading cargo from the dock
TID: 0097ff605f7f0000, SID: 33, DID: 3, CID: 0, time stamp: 9436, AID: 1, The ship requested permission to dock
TID: 0097ff605f7f0000, SID: 33, DID: 3, CID: 0, time stamp: 9440, AID: 2, The ship docked
TID: 0097ff605f7f0000, SID: 33, DID: 3, CID: 0, time stamp: 9443, AID: 5, The ship requested permission to load cargo from the dock
TID: 0097ff605f7f0000, SID: 33, DID: 3, CID: 4, time stamp: 9446, AID: 6, The ship loading cargo from the dock
TID: 00877f605f7f0000, SID: 90, DID: 4, CID: 0, time stamp: 9453, AID: 1, The ship requested permission to dock
TID: 00877f605f7f0000, SID: 90, DID: 4, CID: 0, time stamp: 9456, AID: 2, The ship docked
TID: 00877f605f7f0000, SID: 90, DID: 4, CID: 0, time stamp: 9459, AID: 5, The ship requested permission to load cargo from the dock
TID: 00877f605f7f0000, SID: 90, DID: 4, CID: 35, time stamp: 9463, AID: 6, The ship loading cargo from the dock
TID: 00b7ff615f7f0000, SID: 17, DID: 0, CID: 14, time stamp: 10457, AID: 6, The ship loading cargo from the dock
TID: 0077ff5f5f7f0000, SID: 92, DID: 3, CID: 0, time stamp: 10498, AID: 1, The ship requested permission to dock
TID: 0077ff5f5f7f0000, SID: 92, DID: 3, CID: 0, time stamp: 10500, AID: 2, The ship docked
TID: 0077ff5f5f7f0000, SID: 92, DID: 3, CID: 0, time stamp: 10502, AID: 5, The ship requested permission to load cargo from the dock
TID: 0077ff5f5f7f0000, SID: 92, DID: 3, CID: 22, time stamp: 10504, AID: 6, The ship loading cargo from the dock
TID: 00d7ff625f7f0000, SID: 95, DID: 4, CID: 28, time stamp: 11391, AID: 6, The ship loading cargo from the dock
TID: 00e77f635f7f0000, SID: 0, DID: 4, CID: 56, time stamp: 11402, AID: 6, The ship loading cargo from the dock
TID: 00477f5e5f7f0000, SID: 73, DID: 4, CID: 0, time stamp: 11516, AID: 1, The ship requested permission to dock
TID: 00477f5e5f7f0000, SID: 73, DID: 4, CID: 0, time stamp: 11521, AID: 2, The ship docked
TID: 00477f5e5f7f0000, SID: 73, DID: 4, CID: 0, time stamp: 11524, AID: 5, The ship requested permission to load cargo from the dock
TID: 00477f5e5f7f0000, SID: 73, DID: 4, CID: 60, time stamp: 11530, AID: 6, The ship loading cargo from the dock
TID: 00f7ff635f7f0000, SID: 84, DID: 0, CID: 20, time stamp: 11534, AID: 6, The ship loading cargo from the dock
TID: 0057ff5e5f7f0000, SID: 64, DID: 1, CID: 0, time stamp: 11544, AID: 1, The ship requested permission to dock
TID: 0057ff5e5f7f0000, SID: 64, DID: 1, CID: 0, time stamp: 11550, AID: 2, The ship docked
TID: 0057ff5e5f7f0000, SID: 64, DID: 1, CID: 0, time stamp: 11552, AID: 5, The ship requested permission to load cargo from the dock
TID: 0057ff5e5f7f0000, SID: 64, DID: 1, CID: 10, time stamp: 11555, AID: 6, The ship loading cargo from the dock
TID: 00677f5f5f7f0000, SID: 23, DID: 1, CID: 0, time stamp: 11557, AID: 1, The ship requested permission to dock
TID: 00677f5f5f7f0000, SID: 23, DID: 1, CID: 0, time stamp: 11560, AID: 2, The ship docked
TID: 00677f5f5f7f0000, SID: 23, DID: 1, CID: 0, time stamp: 11561, AID: 5, The ship requested permission to load cargo from the dock
TID: 00677f5f5f7f0000, SID: 23, DID: 1, CID: 17, time stamp: 11564, AID: 6, The ship loading cargo from the dock
TID: 00f7c8685f7f0000, SID: 28, DID: 4, CID: 63, time stamp: 11610, AID: 6, The ship loading cargo from the dock
TID: 00c77f625f7f0000, SID: 37, DID: 2, CID: 2, time stamp: 12450, AID: 6, The ship loading cargo from the dock
TID: 00a77f615f7f0000, SID: 22, DID: 2, CID: 73, time stamp: 12465, AID: 6, The ship loading cargo from the dock
TID: 0097ff605f7f0000, SID: 33, DID: 3, CID: 7, time stamp: 12511, AID: 6, The ship loading cargo from the dock
TID: 00877f605f7f0000, SID: 90, DID: 4, CID: 74, time stamp: 12547, AID: 6, The ship loading cargo from the dock
TID: 0037ff5d5f7f0000, SID: 55, DID: 0, CID: 0, time stamp: 12563, AID: 1, The ship requested permission to dock
TID: 0037ff5d5f7f0000, SID: 55, DID: 0, CID: 0, time stamp: 12565, AID: 2, The ship docked
TID: 0037ff5d5f7f0000, SID: 55, DID: 0, CID: 0, time stamp: 12566, AID: 5, The ship requested permission to load cargo from the dock
TID: 0037ff5d5f7f0000, SID: 55, DID: 0, CID: 37, time stamp: 12569, AID: 6, The ship loading cargo from the dock
TID: 00b7ff615f7f0000, SID: 17, DID: 0, CID: 43, time stamp: 13516, AID: 6, The ship loading cargo from the dock
TID: 0077ff5f5f7f0000, SID: 92, DID: 3, CID: 29, time stamp: 13545, AID: 6, The ship loading cargo from the dock
TID: 00277f5d5f7f0000, SID: 19, DID: 2, CID: 0, time stamp: 13578, AID: 1, The ship requested permission to dock
TID: 00277f5d5f7f0000, SID: 19, DID: 2, CID: 0, time stamp: 13579, AID: 2, The ship docked
TID: 00277f5d5f7f0000, SID: 19, DID: 2, CID: 0, time stamp: 13581, AID: 5, The ship requested permission to load cargo from the dock
TID: 00277f5d5f7f0000, SID: 19, DID: 2, CID: 82, time stamp: 13584, AID: 6, The ship loading cargo from the dock
TID: 0017ff5c5f7f0000, SID: 49, DID: 4, CID: 0, time stamp: 13589, AID: 1, The ship requested permission to dock
TID: 0017ff5c5f7f0000, SID: 49, DID: 4, CID: 0, time stamp: 13591, AID: 2, The ship docked
TID: 0017ff5c5f7f0000, SID: 49, DID: 4, CID: 0, time stamp: 13593, AID: 5, The ship requested permission to load cargo from the dock
TID: 0017ff5c5f7f0000, SID: 49, DID: 4, CID: 47, time stamp: 13596, AID: 6, The ship loading cargo from the dock
TID: 00e77f635f7f0000, SID: 0, DID: 4, CID: 65, time stamp: 14491, AID: 6, The ship loading cargo from the dock
TID: 00d7ff625f7f0000, SID: 95, DID: 4, CID: 58, time stamp: 14500, AID: 6, The ship loading cargo from the dock
TID: 00477f5e5f7f0000, SID: 73, DID: 4, CID: 86, time stamp: 14602, AID: 6, The ship loading cargo from the dock
TID: 00f7ff635f7f0000, SID: 84, DID: 0, CID: 38, time stamp: 14615, AID: 6, The ship loading cargo from the dock
TID: 0057ff5e5f7f0000, SID: 64, DID: 1, CID: 23, time stamp: 14631, AID: 6, The ship loading cargo from the dock
TID: 00677f5f5f7f0000, SID: 23, DID: 1, CID: 25, time stamp: 14642, AID: 6, The ship loading cargo from the dock
TID: 00f7c8685f7f0000, SID: 28, DID: 4, CID: 112, time stamp: 14665, AID: 6, The ship loading cargo from the dock
TID: 00c77f625f7f0000, SID: 37, DID: 2, CID: 9, time stamp: 15508, AID: 6, The ship loading cargo from the dock
TID: 0097ff605f7f0000, SID: 33, DID: 3, CID: 18, time stamp: 15562, AID: 6, The ship loading cargo from the dock
TID: 00a77f615f7f0000, SID: 22, DID: 2, CID: 85, time stamp: 15572, AID: 6, The ship loading cargo from the dock
TID: 00877f605f7f0000, SID: 90, DID: 4, CID: 119, time stamp: 15607, AID: 6, The ship loading cargo from the dock
TID: 0037ff5d5f7f0000, SID: 55, DID: 0, CID: 52, time stamp: 15653, AID: 6, The ship loading cargo from the dock
TID: 0077ff5f5f7f0000, SID: 92, DID: 3, CID: 72, time stamp: 16623, AID: 6, The ship loading cargo from the dock
TID: 00077f5c5f7f0000, SID: 48, DID: 1, CID: 0, time stamp: 16627, AID: 1, The ship requested permission to dock
TID: 00077f5c5f7f0000, SID: 48, DID: 1, CID: 0, time stamp: 16633, AID: 2, The ship docked
TID: 00077f5c5f7f0000, SID: 48, DID: 1, CID: 0, time stamp: 16636, AID: 5, The ship requested permission to load cargo from the dock
TID: 00077f5c5f7f0000, SID: 48, DID: 1, CID: 3, time stamp: 16640, AID: 6, The ship loading cargo from the dock
TID: 00277f5d5f7f0000, SID: 19, DID: 2, CID: 101, time stamp: 16646, AID: 6, The ship loading cargo from the dock
TID: 00b7ff615f7f0000, SID: 17, DID: 0, CID: 59, time stamp: 16659, AID: 6, The ship loading cargo from the dock
TID: 0017ff5c5f7f0000, SID: 49, DID: 4, CID: 67, time stamp: 16663, AID: 6, The ship loading cargo from the dock
TID: 00e77f635f7f0000, SID: 0, DID: 4, CID: 118, time stamp: 17558, AID: 6, The ship loading cargo from the dock
TID: 00d7ff625f7f0000, SID: 95, DID: 4, CID: 91, time stamp: 17567, AID: 6, The ship loading cargo from the dock
TID: 00e77e5b5f7f0000, SID: 74, DID: 2, CID: 0, time stamp: 17628, AID: 1, The ship requested permission to dock
TID: 00d7fe5a5f7f0000, SID: 94, DID: 1, CID: 0, time stamp: 17633, AID: 1, The ship requested permission to dock
TID: 00d7fe5a5f7f0000, SID: 94, DID: 1, CID: 0, time stamp: 17637, AID: 2, The ship docked
TID: 00d7fe5a5f7f0000, SID: 94, DID: 1, CID: 0, time stamp: 17641, AID: 5, The ship requested permission to load cargo from the dock
TID: 00d7fe5a5f7f0000, SID: 94, DID: 1, CID: 12, time stamp: 17646, AID: 6, The ship loading cargo from the dock
TID: 00e77e5b5f7f0000, SID: 74, DID: 2, CID: 0, time stamp: 17634, AID: 2, The ship docked
TID: 00f7fe5b5f7f0000, SID: 72, DID: 0, CID: 0, time stamp: 17651, AID: 1, The ship requested permission to dock
TID: 00477f5e5f7f0000, SID: 73, DID: 4, CID: 125, time stamp: 17661, AID: 6, The ship loading cargo from the dock
TID: 00f7fe5b5f7f0000, SID: 72, DID: 0, CID: 0, time stamp: 17661, AID: 2, The ship docked
TID: 00e77e5b5f7f0000, SID: 74, DID: 2, CID: 0, time stamp: 17668, AID: 5, The ship requested permission to load cargo from the dock
TID: 00e77e5b5f7f0000, SID: 74, DID: 2, CID: 15, time stamp: 17676, AID: 6, The ship loading cargo from the dock
TID: 00f7ff635f7f0000, SID: 84, DID: 0, CID: 64, time stamp: 17681, AID: 6, The ship loading cargo from the dock
TID: 0057ff5e5f7f0000, SID: 64, DID: 1, CID: 40, time stamp: 17689, AID: 6, The ship loading cargo from the dock
TID: 00f7fe5b5f7f0000, SID: 72, DID: 0, CID: 0, time stamp: 17694, AID: 5, The ship requested permission to load cargo from the dock
TID: 00677f5f5f7f0000, SID: 23, DID: 1, CID: 34, time stamp: 17699, AID: 6, The ship loading cargo from the dock
TID: 00f7fe5b5f7f0000, SID: 72, DID: 0, CID: 87, time stamp: 17704, AID: 6, The ship loading cargo from the dock
TID: 00f7c8685f7f0000, SID: 28, DID: 4, CID: 151, time stamp: 17721, AID: 6, The ship loading cargo from the dock
TID: 00c77f625f7f0000, SID: 37, DID: 2, CID: 16, time stamp: 18622, AID: 6, The ship loading cargo from the dock
TID: 00a77f615f7f0000, SID: 22, DID: 2, CID: 116, time stamp: 18688, AID: 6, The ship loading cargo from the dock
TID: 00c77e5a5f7f0000, SID: 15, DID: 1, CID: 0, time stamp: 18704, AID: 1, The ship requested permission to dock
TID: 00877f605f7f0000, SID: 90, DID: 4, CID: 134, time stamp: 18720, AID: 6, The ship loading cargo from the dock
TID: 00c77e5a5f7f0000, SID: 15, DID: 1, CID: 0, time stamp: 18724, AID: 2, The ship docked
TID: 0097ff605f7f0000, SID: 33, DID: 3, CID: 31, time stamp: 18742, AID: 6, The ship loading cargo from the dock
TID: 0037ff5d5f7f0000, SID: 55, DID: 0, CID: 69, time stamp: 18754, AID: 6, The ship loading cargo from the dock
TID: 00c77e5a5f7f0000, SID: 15, DID: 1, CID: 0, time stamp: 18762, AID: 5, The ship requested permission to load cargo from the dock
TID: 00c77e5a5f7f0000, SID: 15, DID: 1, CID: 39, time stamp: 18768, AID: 6, The ship loading cargo from the dock
TID: 0077ff5f5f7f0000, SID: 92, DID: 3, CID: 79, time stamp: 19681, AID: 6, The ship loading cargo from the dock
TID: 00b7fe595f7f0000, SID: 6, DID: 4, CID: 0, time stamp: 19702, AID: 1, The ship requested permission to dock
TID: 00b7fe595f7f0000, SID: 6, DID: 4, CID: 0, time stamp: 19706, AID: 2, The ship docked
TID: 00b7fe595f7f0000, SID: 6, DID: 4, CID: 0, time stamp: 19708, AID: 5, The ship requested permission to load cargo from the dock
TID: 00277f5d5f7f0000, SID: 19, DID: 2, CID: 123, time stamp: 19718, AID: 6, The ship loading cargo from the dock
TID: 00b7ff615f7f0000, SID: 17, DID: 0, CID: 71, time stamp: 19722, AID: 6, The ship loading cargo from the dock
TID: 00077f5c5f7f0000, SID: 48, DID: 1, CID: 30, time stamp: 19728, AID: 6, The ship loading cargo from the dock
TID: 0017ff5c5f7f0000, SID: 49, DID: 4, CID: 96, time stamp: 19732, AID: 6, The ship loading cargo from the dock
TID: 00b7fe595f7f0000, SID: 6, DID: 4, CID: 98, time stamp: 19742, AID: 6, The ship loading cargo from the dock
TID: 00e77f635f7f0000, SID: 0, DID: 4, CID: 141, time stamp: 20620, AID: 6, The ship loading cargo from the dock
